PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
33,5,2,3,2,1,0.4,0.2,0.6,0.4,4,1,0.8,0.2,2,0,0,5,0,0,0,0,5,0,20,3
34,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,4,4
35,2,0,2,0,0,0,0,1,0,1,0,0.5,0,1,0,0,0,0,0,0,1,1,2,26,7
36,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,19
37,7,1,6,3,1,0.429,0.143,0.857,0.143,5,1,0.714,0.143,0,1,2,3,0,0,1,1,6,0,41,4
38,11,8,3,0,0,0,0,0.273,0.727,1,0,0.091,0,0,0,0,0,6,0,0,6,5,5,73,11
39,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,45,45
40,2,2,0,0,1,0,0.5,0,1,0,1,0,0.5,0,1,0,0,0,0,1,1,1,0,32,27
41,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,19,19
42,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,10,10
43,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,5,5
44,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,49,49
45,5,3,2,0,0,0,0,0.4,0.6,1,0,0.2,0,0,0,0,2,0,0,0,0,5,3,33,12
46,12,7,5,7,4,0.583,0.333,0.417,0.583,10,5,0.833,0.417,3,2,1,2,0,0,7,2,10,0,48,2
47,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,8
48,2,1,1,0,1,0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,18,7
49,7,3,4,5,2,0.714,0.286,0.571,0.429,5,2,0.714,0.286,2,0,0,0,0,0,2,4,3,5,60,2
50,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,14
51,4,0,4,2,0,0.5,0,1,0,2,0,0.5,0,1,1,0,0,0,0,0,1,3,3,83,5
52,2,1,1,1,0,0.5,0,0.5,0.5,1,0,0.5,0,1,1,0,0,0,0,0,2,0,1,59,3
53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,44,44
54,3,2,1,2,2,0.667,0.667,0.333,0.667,2,2,0.667,0.667,0,1,0,1,0,0,1,1,2,0,16,4
55,5,1,4,3,0,0.6,0,0.8,0.2,3,0,0.6,0,1,0,0,2,0,0,2,0,5,1,24,5
56,2,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,9,8
57,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,64,64
58,9,7,2,1,1,0.111,0.111,0.222,0.778,4,2,0.444,0.222,0,0,0,3,0,0,0,0,9,6,42,6
59,3,0,3,0,0,0,0,1,0,1,0,0.333,0,0,0,0,1,0,0,1,1,2,1,24,8
60,3,0,3,0,0,0,0,1,0,3,0,1,0,0,1,0,2,0,0,0,1,2,0,11,8
61,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,40
62,9,6,3,0,5,0,0.556,0.333,0.667,3,5,0.333,0.556,0,1,0,5,0,0,1,1,8,2,39,9
63,2,1,1,0,0,0,0,0.5,0.5,1,1,0.5,0.5,0,1,0,1,0,0,0,1,1,0,33,9
64,2,1,1,0,1,0,0.5,0.5,0.5,0,1,0,0.5,0,1,0,1,0,0,0,1,1,0,24,16
65,2,1,1,0,0,0,0,0.5,0.5,1,0,0.5,0,0,1,0,0,0,0,1,1,1,0,40,10
66,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,7,7
67,3,0,3,0,0,0,0,1,0,3,0,1,0,1,1,0,1,0,0,0,1,2,1,12,11
68,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,27,27
69,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,2,0,0,0,0,0,2,0,0,70,13
70,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,6,6
71,26,22,4,1,0,0.038,0,0.154,0.846,1,0,0.038,0,0,0,0,1,25,0,0,25,1,0,59,5
72,4,0,4,1,0,0.25,0,1,0,2,0,0.5,0,0,0,0,0,0,0,1,3,1,3,76,3
73,2,0,2,1,0,0.5,0,1,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,7,4
74,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,120,54
75,3,0,3,0,0,0,0,1,0,2,0,0.667,0,0,0,0,2,0,0,0,0,3,1,115,7
76,10,2,8,3,2,0.3,0.2,0.8,0.2,8,2,0.8,0.2,2,0,0,9,0,0,0,0,10,1,19,2
77,4,2,2,0,0,0,0,0.5,0.5,2,1,0.5,0.25,0,1,0,2,0,0,0,1,3,1,66,8
78,2,0,2,0,0,0,0,1,0,1,0,0.5,0,0,0,0,2,0,0,0,0,2,0,14,10
79,3,1,2,1,0,0.333,0,0.667,0.333,1,0,0.333,0,0,1,1,1,0,0,0,1,2,0,70,5
80,2,0,2,0,0,0,0,1,0,1,0,0.5,0,1,1,0,0,0,0,0,2,0,1,20,10
81,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,8,8
82,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,6,6
83,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,14,14
84,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,26,26
85,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,6,6
86,2,0,2,1,0,0.5,0,1,0,2,0,1,0,2,0,0,1,1,0,0,1,1,0,10,2
87,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,20
88,11,6,5,1,1,0.091,0.091,0.455,0.545,3,4,0.273,0.364,0,4,0,6,0,0,0,4,7,1,49,3
89,3,1,2,2,1,0.667,0.333,0.667,0.333,2,1,0.667,0.333,1,0,0,1,0,0,0,0,3,2,48,2
90,5,3,2,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,2,0,3,2,3,0,47,14
91,4,0,4,2,0,0.5,0,1,0,3,0,0.75,0,1,0,0,1,0,0,0,1,3,3,40,6
92,2,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,0,0,0,0,0,2,0,2,0,12,4
93,7,1,6,4,0,0.571,0,0.857,0.143,6,0,0.857,0,2,0,0,4,0,0,1,1,6,2,46,3
94,4,2,2,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,2,0,0,1,1,3,0,60,40
95,4,3,1,0,0,0,0,0.25,0.75,0,1,0,0.25,0,0,0,0,1,0,0,3,1,3,93,18
96,2,0,2,1,0,0.5,0,1,0,1,0,0.5,0,0,1,0,0,0,0,1,1,1,0,16,3
97,8,4,4,1,2,0.125,0.25,0.5,0.5,2,3,0.25,0.375,0,8,0,0,0,0,0,8,0,0,56,4
98,23,14,9,3,3,0.13,0.13,0.391,0.609,6,4,0.261,0.174,2,0,0,2,4,0,1,19,4,16,61,1
99,8,1,7,3,0,0.375,0,0.875,0.125,6,0,0.75,0,3,1,0,4,0,0,1,1,7,2,113,3
100,6,5,1,0,0,0,0,0.167,0.833,0,0,0,0,0,1,0,0,5,0,0,6,0,0,67,42
101,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,42,42
102,4,4,0,0,0,0,0,0,1,0,1,0,0.25,0,0,0,0,4,0,0,4,0,0,74,19
103,2,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,22,14
104,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,5,5
105,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,5,5
106,12,12,0,0,0,0,0,0,1,0,2,0,0.167,0,2,0,0,7,0,0,10,2,3,191,24
107,7,5,2,2,2,0.286,0.286,0.286,0.714,2,2,0.286,0.286,2,0,0,7,0,0,0,0,7,0,39,3
108,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,3
109,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,4,4
110,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60,60
111,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,76,76
112,3,2,1,0,0,0,0,0.333,0.667,1,1,0.333,0.333,0,2,0,0,0,1,0,3,0,0,65,9
113,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,16
114,8,4,4,1,0,0.125,0,0.5,0.5,3,0,0.375,0,1,1,0,3,3,0,1,4,4,0,56,2
115,7,4,3,5,4,0.714,0.571,0.429,0.571,7,4,1,0.571,0,0,1,0,1,0,3,3,4,2,7,2
116,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,192,187
117,6,3,3,0,0,0,0,0.5,0.5,1,0,0.167,0,0,1,0,2,0,0,1,1,5,2,43,8
118,9,6,3,2,0,0.222,0,0.333,0.667,3,2,0.333,0.222,0,1,0,8,0,0,0,1,8,0,76,3
119,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,9,9
120,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,13,13
121,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,7,7
122,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,29,29
123,2,0,2,1,0,0.5,0,1,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0,12,4
124,3,1,2,2,1,0.667,0.333,0.667,0.333,2,1,0.667,0.333,0,0,0,1,0,0,1,0,3,1,47,3
125,26,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24,0,1,25,1,0,193,24
126,6,3,3,2,3,0.333,0.5,0.5,0.5,3,3,0.5,0.5,1,0,0,5,0,0,0,0,6,1,20,3
127,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,98,98
128,2,0,2,1,0,0.5,0,1,0,2,0,1,0,1,1,0,0,1,0,0,2,0,0,10,2
129,2,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,2,0,11,7
130,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,63,63
131,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24,24
132,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,9,9
133,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,14
134,4,1,3,3,1,0.75,0.25,0.75,0.25,4,1,1,0.25,3,0,0,2,0,0,1,0,4,1,9,1
135,2,0,2,2,0,1,0,1,0,2,0,1,0,1,0,0,2,0,0,0,0,2,0,6,2
136,7,3,4,2,2,0.286,0.286,0.571,0.429,3,2,0.429,0.286,1,1,1,1,2,0,1,4,3,1,58,5
137,10,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,10,0,0,61,28
138,4,1,3,0,0,0,0,0.75,0.25,1,1,0.25,0.25,0,1,0,3,0,0,0,1,3,0,30,11
139,6,1,5,2,0,0.333,0,0.833,0.167,4,1,0.667,0.167,2,1,0,3,0,0,1,1,5,1,23,1
140,5,1,4,1,0,0.2,0,0.8,0.2,4,1,0.8,0.2,0,1,0,0,4,0,0,5,0,0,32,3
141,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,4,4
142,7,5,2,0,0,0,0,0.286,0.714,2,2,0.286,0.286,0,0,0,0,2,0,0,5,2,5,69,6
143,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,53,53
144,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,67,67
145,3,1,2,0,0,0,0,0.667,0.333,0,0,0,0,0,1,0,0,0,0,0,2,1,2,145,18
146,12,3,9,4,1,0.333,0.083,0.75,0.25,8,3,0.667,0.25,0,3,0,7,0,0,0,3,9,2,31,3
147,11,3,8,2,0,0.182,0,0.727,0.273,4,1,0.364,0.091,1,1,2,5,0,0,3,1,10,0,59,4
148,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,11,11
149,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37,37
150,2,1,1,1,0,0.5,0,0.5,0.5,1,0,0.5,0,1,0,0,1,1,0,0,1,1,0,33,1
151,15,12,3,14,12,0.933,0.8,0.2,0.8,15,12,1,0.8,2,0,0,1,14,0,0,14,1,0,12,3
152,6,2,4,0,0,0,0,0.667,0.333,3,1,0.5,0.167,0,2,0,0,2,1,0,6,0,1,65,8
153,2,0,2,1,0,0.5,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,2,0,9,3
154,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24,24
155,3,2,1,0,0,0,0,0.333,0.667,0,0,0,0,0,0,0,3,0,0,0,0,3,0,32,20
156,2,1,1,0,1,0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,1,1,18,7
157,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2,0,150,38
158,5,2,3,1,1,0.2,0.2,0.6,0.4,2,2,0.4,0.4,0,0,0,3,0,0,1,0,5,1,31,4
159,17,16,1,1,2,0.059,0.118,0.059,0.941,1,2,0.059,0.118,0,2,0,1,13,0,0,15,2,1,159,2
160,3,0,3,1,0,0.333,0,1,0,2,0,0.667,0,0,1,0,1,0,0,0,2,1,1,12,4
161,7,4,3,1,0,0.143,0,0.429,0.571,2,0,0.286,0,0,1,0,0,3,0,0,7,0,3,77,3
162,5,2,3,0,0,0,0,0.6,0.4,0,0,0,0,0,2,0,0,2,0,0,5,0,1,104,58
163,5,1,4,2,0,0.4,0,0.8,0.2,2,0,0.4,0,0,0,0,0,0,0,3,2,3,2,51,4
164,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,27,27
165,5,2,3,3,1,0.6,0.2,0.6,0.4,4,2,0.8,0.4,2,0,0,3,0,0,1,0,5,1,16,4
166,20,16,4,1,3,0.05,0.15,0.2,0.8,3,3,0.15,0.15,2,0,0,5,11,0,0,12,8,4,58,1
167,13,10,3,1,0,0.077,0,0.231,0.769,1,2,0.077,0.154,2,2,0,0,10,0,0,13,0,1,87,5
168,3,1,2,2,1,0.667,0.333,0.667,0.333,2,1,0.667,0.333,1,1,0,1,0,0,0,2,1,1,15,3
169,7,1,6,0,0,0,0,0.857,0.143,1,0,0.143,0,4,1,0,0,0,0,0,7,0,6,64,7
170,3,0,3,3,0,1,0,1,0,3,0,1,0,0,0,0,0,3,0,0,3,0,0,5,5
171,4,1,3,3,0,0.75,0,0.75,0.25,3,0,0.75,0,1,1,0,3,0,0,0,1,3,0,29,3
172,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33,33
173,18,9,9,0,0,0,0,0.5,0.5,0,0,0,0,6,1,0,1,2,0,0,17,1,14,62,16
174,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,21
175,6,0,6,5,0,0.833,0,1,0,6,0,1,0,1,0,0,1,0,0,1,0,6,4,8,3
176,14,12,2,0,0,0,0,0.143,0.857,2,4,0.143,0.286,1,0,0,0,12,0,0,14,0,2,69,7
177,3,0,3,0,0,0,0,1,0,1,0,0.333,0,0,1,0,1,0,0,0,1,2,1,97,12
178,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34,34
179,4,0,4,1,0,0.25,0,1,0,4,0,1,0,0,0,0,2,0,0,1,0,4,1,12,6
180,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,24,24
181,2,0,2,0,0,0,0,1,0,1,0,0.5,0,0,1,0,1,0,0,0,1,1,0,28,7
182,24,16,8,1,0,0.042,0,0.333,0.667,2,2,0.083,0.083,1,1,7,7,0,0,8,1,23,1,74,2
183,3,2,1,1,1,0.333,0.333,0.333,0.667,1,1,0.333,0.333,1,0,0,0,1,0,0,3,0,2,56,4
184,9,5,4,0,0,0,0,0.444,0.556,0,0,0,0,0,1,3,0,0,0,4,1,8,1,137,17
185,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,4,4
186,3,1,2,0,0,0,0,0.667,0.333,0,0,0,0,0,0,0,0,3,0,0,3,0,0,36,27
187,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19,19
188,7,4,3,0,1,0,0.143,0.429,0.571,2,2,0.286,0.286,0,1,0,0,6,0,0,7,0,0,39,8
189,4,3,1,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,3,0,0,0,0,4,1,41,20
190,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,19,19
191,13,10,3,1,0,0.077,0,0.231,0.769,2,1,0.154,0.077,1,0,0,0,8,0,2,11,2,3,86,2
192,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,34,34
193,4,2,2,4,2,1,0.5,0.5,0.5,4,2,1,0.5,0,0,0,0,0,0,2,2,2,2,5,3
194,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,13,13
195,8,7,1,0,0,0,0,0.125,0.875,1,0,0.125,0,0,0,0,1,7,0,0,7,1,0,40,8
196,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,7,7
197,4,2,2,1,0,0.25,0,0.5,0.5,2,0,0.5,0,0,0,0,1,0,1,1,2,2,1,76,6
198,22,14,8,3,3,0.136,0.136,0.364,0.636,7,8,0.318,0.364,0,1,0,9,5,0,0,6,16,7,124,3
199,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,39,39
200,2,1,1,1,0,0.5,0,0.5,0.5,1,0,0.5,0,0,0,1,1,0,0,0,0,2,0,21,1
201,3,2,1,0,0,0,0,0.333,0.667,0,0,0,0,0,0,0,2,0,0,1,0,3,0,31,15
202,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,34,34
203,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,19,19
204,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,8
205,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,27,27
206,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,83,83
207,4,1,3,0,1,0,0.25,0.75,0.25,1,1,0.25,0.25,1,2,0,1,0,0,1,2,2,0,42,9
208,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,7,7
209,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5
210,4,2,2,1,0,0.25,0,0.5,0.5,1,0,0.25,0,0,0,0,0,0,0,3,1,3,1,129,4
211,2,0,2,1,0,0.5,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,2,0,8,6
212,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,50,50
213,2,2,0,0,1,0,0.5,0,1,0,1,0,0.5,0,0,0,0,0,0,0,2,0,2,46,13
214,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,35
215,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2
216,3,0,3,0,0,0,0,1,0,1,0,0.333,0,0,1,1,1,0,0,0,1,2,0,34,8
217,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,93,88
218,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,53,53
219,5,2,3,3,0,0.6,0,0.6,0.4,3,1,0.6,0.2,3,0,0,4,0,0,0,0,5,1,28,1
220,8,8,0,1,2,0.125,0.25,0,1,1,3,0.125,0.375,0,0,0,0,5,0,0,8,0,3,50,6
221,3,0,3,0,0,0,0,1,0,1,0,0.333,0,1,1,0,0,0,0,0,3,0,2,17,8
222,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,5,5
223,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,12,12
224,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,102,98
225,4,1,3,0,0,0,0,0.75,0.25,0,0,0,0,0,2,0,0,0,0,0,4,0,2,64,15
226,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,12,12
227,10,5,5,0,0,0,0,0.5,0.5,0,1,0,0.1,0,1,0,2,0,0,0,2,8,7,64,17
228,2,0,2,1,0,0.5,0,1,0,1,0,0.5,0,1,0,0,1,0,0,0,0,2,1,3,3
229,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,37,22
230,5,2,3,2,0,0.4,0,0.6,0.4,2,0,0.4,0,2,0,0,0,1,0,0,4,1,4,96,2
231,6,5,1,0,0,0,0,0.167,0.833,0,1,0,0.167,0,0,0,0,4,0,0,6,0,2,39,20
232,2,0,2,1,0,0.5,0,1,0,2,0,1,0,1,0,1,0,1,0,0,1,1,0,10,4
233,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,26,26
234,6,4,2,1,0,0.167,0,0.333,0.667,2,0,0.333,0,0,0,0,4,0,0,2,0,6,0,65,4
235,5,3,2,0,0,0,0,0.4,0.6,2,0,0.4,0,0,0,0,4,0,0,0,0,5,1,34,9
236,13,10,3,2,4,0.154,0.308,0.231,0.769,5,5,0.385,0.385,0,0,0,9,0,0,1,0,13,3,29,3
237,5,2,3,0,0,0,0,0.6,0.4,0,0,0,0,1,3,0,1,0,0,1,3,2,0,154,17
238,5,2,3,3,1,0.6,0.2,0.6,0.4,4,1,0.8,0.2,2,2,0,2,1,0,0,3,2,0,148,1
239,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,129,129
